scenario,initial_tvl,final_tvl,total_hack_events,total_hack_losses,total_insurance_payouts,final_lp_capital,final_utilization,final_revenue_share,protocol_profit,lp_profit,hack_frequency,loss_ratio
Base Case,173670421.38699228,92166323.4210747,0,0.0,0.0,134575399.9960857,0.393195871212147,0.343521412137282,13668167.624160396,8672873.512511548,0.0,0.0
Base Case,55063206.56348125,64799184.58267302,0,0.0,0.0,44350752.04190755,0.4032637302792598,0.41082514468649695,3530355.528092889,3317650.3434617156,0.0,0.0
Base Case,133091153.37508796,268123880.63714635,1,14968378.064270789,14968378.064270789,90107667.85426927,0.46204357153871506,0.7000159388181323,59840420.18626189,-6794054.140828848,1.0,1.0
Base Case,106864778.81506552,64321842.648521,0,0.0,0.0,84369273.44884422,0.39882182699425417,0.353666764091486,8256485.840396001,5543021.798465097,0.0,0.0
Base Case,82796757.5220809,49933066.38857244,0,0.0,0.0,65479338.89018095,0.3991647958037964,0.38373344754276867,6013723.5372438235,4608660.3654167885,0.0,0.0
Base Case,73143136.71969137,163180696.07882467,0,0.0,0.0,58044323.523390345,0.4015156306558995,0.39367233725357254,4070134.234575992,4235959.245349178,0.0,0.0
Base Case,131877714.49024679,90027534.93134758,0,0.0,0.0,104118036.14601907,0.3965977753109114,0.35646085215425033,10107406.502802096,6924535.876844569,0.0,0.0
Base Case,88905720.4922665,171316452.2123194,0,0.0,0.0,70901071.57981668,0.39933533041387537,0.4226503764194503,4945048.12984482,5543355.67324782,0.0,0.0
Base Case,94437374.25086503,56926061.43816513,0,0.0,0.0,75312227.08294097,0.39740472693711987,0.30158237655484205,8008199.931696366,4225651.660791389,0.0,0.0
Base Case,189122080.79284382,138449487.91624784,0,0.0,0.0,147285308.23655027,0.3915804365005547,0.4834945341919868,10909805.164898526,13216184.325803367,0.0,0.0
Base Case,77836291.2227809,145765975.518039,0,0.0,0.0,61556418.90317406,0.4002973651725515,0.3347622516976539,5185465.671961839,3842968.2710436727,0.0,0.0
Base Case,66010730.33829661,57551801.827712834,0,0.0,0.0,52204328.52452217,0.40179621892377293,0.35060958049114455,4901620.702933912,3365583.4476075307,0.0,0.0
Base Case,146403487.36791185,93745378.35557961,0,0.0,0.0,115586720.87006763,0.39480536584233694,0.5172131776169923,7986581.274415953,11004392.429185921,0.0,0.0
Base Case,80330344.0145362,152356823.69939288,1,21310281.466034733,21310281.466034733,42751781.42612583,0.600775115475054,0.47415691576286045,79697153.73999546,-20862963.540328313,1.0,1.0
Base Case,135341033.01788685,216781870.0661871,0,0.0,0.0,106852870.6678612,0.3955425654019147,0.42996547445206257,7717969.106976399,8561541.469367025,0.0,0.0
Base Case,96624469.9634533,79367664.10071972,1,32741334.43159917,30198511.973533247,45445673.74152331,0.664496958396749,0.5110782103183379,85688875.25495034,-21553860.64641023,1.0,0.9223360164693897
Base Case,187866354.76987725,113781688.27775018,0,0.0,0.0,145575630.79235077,0.39190495582940393,0.4407230067493623,12147787.509965628,11934240.033730747,0.0,0.0
Base Case,57227184.12503565,107768372.16680333,0,0.0,0.0,45257975.71860501,0.4044418665835267,0.5045068943215998,2462287.13968799,4158876.8616390787,0.0,0.0
Base Case,125100218.95105718,129791654.34435873,1,130594535.04566953,39245926.43872758,59521278.247319706,0.6593596037312062,0.6604865849545285,120052580.0168831,-29526016.131313547,1.0,0.30051737176447
Base Case,128287357.47503822,276436247.1297481,0,0.0,0.0,101283966.73235546,0.39638375710633666,0.3796561189453634,7574874.492154802,7226073.628371222,0.0,0.0
Base Case,103312867.67078547,97956868.4565348,0,0.0,0.0,80880274.75400117,0.3984214285643379,0.5351863539869885,4976403.079920804,7914266.292302411,0.0,0.0
Base Case,91283850.47020064,75164083.8163908,0,0.0,0.0,72796582.63166243,0.3982325524337001,0.3620088354600586,6780754.153760916,4865366.381491547,0.0,0.0
Base Case,88556364.06577098,103011909.71459933,0,0.0,0.0,70622467.06689651,0.39949761122356814,0.3818199692260505,6060648.142756433,4982681.582907053,0.0,0.0
Base Case,56906149.044722825,30530953.938724946,0,0.0,0.0,45457937.07777147,0.4025109534454985,0.470533426920019,3475897.8045771057,3854514.5214789556,0.0,0.0
Base Case,143056072.1829884,88332119.5583526,0,0.0,0.0,112943686.43556285,0.3957113358486195,0.6542166442143166,5069811.4828005405,13513353.287520431,0.0,0.0
Base Case,80391043.04433358,123788332.0105513,0,0.0,0.0,64110468.86647896,0.4008952783350716,0.30072860873813917,6164898.669236973,3611539.401995727,0.0,0.0
Base Case,148439627.78494352,196466832.38352433,0,0.0,0.0,117194261.55049288,0.39423572951959274,0.47533391219601695,8042579.226014147,10331007.078214645,0.0,0.0
Base Case,147132657.4029535,123762132.3606569,0,0.0,0.0,116162403.41360526,0.3946003710717491,0.519707902846414,7654108.41027407,11129050.356108319,0.0,0.0
